file,pid,label,length
006_0.csv,006,0,1014.4351
006_2.csv,006,1,819.1284
009_0.csv,009,0,855.594
009_2.csv,009,1,828.6222
011_2.csv,011,1,644.70776
016_0.csv,016,0,634.1543
016_2.csv,016,1,789.36664
021_0.csv,021,0,743.3396
021_2.csv,021,1,716.2338
029_0.csv,029,0,624.0735
029_2.csv,029,1,1192.0406
032_0.csv,032,0,882.61365
032_2.csv,032,1,916.92285
036_0.csv,036,0,368.6127
036_2.csv,036,1,547.68915
041_0.csv,041,0,1424.2163
041_2.csv,041,1,973.7469
042_0.csv,042,0,752.97815
042_2.csv,042,1,534.3986
047_0.csv,047,0,705.78107
048_0.csv,048,0,1316.446
048_2.csv,048,1,690.5626
049_0.csv,049,0,947.9238
049_2.csv,049,1,695.5153
054_0.csv,054,0,700.00024
054_2.csv,054,1,604.1526
056_0.csv,056,0,564.4254
056_2.csv,056,1,661.8861
057_0.csv,057,0,1196.2651
057_2.csv,057,1,667.58777
058_0.csv,058,0,1718.9604
058_2.csv,058,1,2038.1505
062_0.csv,062,0,397.1799
062_2.csv,062,1,799.755
065_0.csv,065,0,333.8092
065_2.csv,065,1,609.70496
071_0.csv,071,0,1732.9104
071_2.csv,071,1,914.0791
072_0.csv,072,0,940.1022
072_2.csv,072,1,1364.9958
