stage,thr,label,bal_acc,macro_f1,roc_auc,auprc,confusion,n
A1_first_in,0.475,,,,,,,
A2_repeats_in,0.30000000000000004,,,,,,,
B1_first→repeats@0.5,0.5,B1_first→repeats@0.5,0.8500000000000001,0.849624060150376,0.9549999999999998,0.9577994331090307,"[[18, 2], [4, 16]]",40.0
B1_first→repeats@thr_src,0.475,B1_first→repeats@thr_src,0.875,0.8749218261413383,0.9549999999999998,0.9577994331090307,"[[18, 2], [3, 17]]",40.0
B2_repeats→first@0.5,0.5,B2_repeats→first@0.5,0.8043478260869565,0.8042553191489362,0.8605860113421551,0.8412366988827114,"[[36, 10], [8, 38]]",92.0
B2_repeats→first@thr_src,0.30000000000000004,B2_repeats→first@thr_src,0.7065217391304348,0.6903901283809049,0.8605860113421551,0.8412366988827114,"[[22, 24], [3, 43]]",92.0
C1_first→repeats_kshot,0.75,C1_first→repeats_k10_k=10,0.75,0.7493734335839599,0.8300000000000001,0.7842063492063491,"[[8, 2], [3, 7]]",20.0
C2_repeats→first_kshot,0.675,C2_repeats→first_k10_k=10,0.7266081871345029,0.724702380952381,0.847953216374269,0.8387466611559088,"[[32, 6], [14, 22]]",74.0
D_joint→first,0.525,D_joint→firstTest,0.8044871794871795,0.7987117552334944,0.8141025641025641,0.7083573833573833,"[[9, 4], [1, 11]]",25.0
D_joint→repeats,0.525,D_joint→repeatsTest,0.75,0.75,0.875,0.8875,"[[3, 1], [1, 3]]",8.0
D_joint→all,0.525,D_joint→allTest,0.7904411764705883,0.7870967741935484,0.8308823529411764,0.7337829160004082,"[[12, 5], [2, 14]]",33.0
